Facility_Code,Health_Service,Facility_Name,Last_Month_In_QTR,Month,Quarter,Year,Triage_Category,Number_of_Attendances,Variation_Attendances_Percent,Patients_Seen_Within_Recommended_Times_Percent,Median_Waiting_Time_Minutes,Patients_Did_Not_Wait_For_Treatment_Percent,Patients_Admitted_From_ED_Percent,Admissions_To_Hospital_Within_4_Hours_Percent,ED_Stay_Within_4_Hours_Percent,Number_Left_After_Treatment_Commenced,Percent_Left_After_Treatment_Commenced,Number_Did_Not_Wait_For_Treatment
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,3,2597,15.3,50.3,30,3.2,26.1,49.3,58.3,84,3.2,83
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,4,2826,7.7,53,56,9.8,9.5,42.4,73.2,127,4.5,278
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,5,287,-18,79.5,35,13.2,2.8,62.5,84.3,4,1.4,38
71,Wide Bay,Maryborough,1/09/2024,9,3,2024,ALL,6910,11.1,58.8,27,5.8,20.1,53.5,65.1,253,3.7,400
72,Wide Bay,Monto,1/09/2024,9,3,2024,1,0,-100,0,0,0,0,0,0,0,0,0
72,Wide Bay,Monto,1/09/2024,9,3,2024,2,34,36,100,0,2.9,67.6,100,100,1,2.9,1
72,Wide Bay,Monto,1/09/2024,9,3,2024,3,75,11.9,98.7,0,0,54.7,100,100,0,0,0
72,Wide Bay,Monto,1/09/2024,9,3,2024,4,157,-28.6,100,0,1.3,16.6,100,100,1,0.6,2
72,Wide Bay,Monto,1/09/2024,9,3,2024,5,82,-20.4,100,0,0,8.5,100,100,0,0,0
72,Wide Bay,Monto,1/09/2024,9,3,2024,ALL,348,-16.5,99.7,0,0.9,27.9,100,100,2,0.6,3
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,1,1,0,100,0,0,100,100,100,0,0,0
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,2,10,0,100,0,0,60,100,100,0,0,0
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,3,47,-24.2,100,0,0,38.3,100,100,0,0,0
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,4,85,-5.6,100,0,0,15.3,100,100,0,0,0
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,5,24,-45.5,100,0,0,0,0,100,0,0,0
74,Wide Bay,Mundubbera,1/09/2024,9,3,2024,ALL,167,-18.9,100,0,0,22.8,100,100,0,0,0
75,Darling Downs,Murgon,1/09/2024,9,3,2024,1,4,33.3,100,0,0,25,0,75,0,0,0
75,Darling Downs,Murgon,1/09/2024,9,3,2024,2,78,-15.2,88.5,1,0,46.2,91.7,84.6,0,0,0
75,Darling Downs,Murgon,1/09/2024,9,3,2024,3,290,17.4,92.5,3,2.1,25.9,90.7,86.9,1,0.3,6
75,Darling Downs,Murgon,1/09/2024,9,3,2024,4,564,5.8,92.7,6,8.2,6.2,82.9,94.3,3,0.5,46
75,Darling Downs,Murgon,1/09/2024,9,3,2024,5,258,-11,95.7,4,6.6,7.4,94.7,99.2,1,0.4,17
75,Darling Downs,Murgon,1/09/2024,9,3,2024,ALL,1194,2.5,92.8,4,5.8,13.9,89.2,92.9,5,0.4,69
76,Darling Downs,Nanango,1/09/2024,9,3,2024,1,3,200,100,0,0,0,0,66.7,0,0,0
76,Darling Downs,Nanango,1/09/2024,9,3,2024,2,36,-26.5,97.2,0,0,2.8,0,75,3,8.3,0
76,Darling Downs,Nanango,1/09/2024,9,3,2024,3,74,-9.8,85.9,4,2.7,2.7,100,75.7,2,2.7,2
76,Darling Downs,Nanango,1/09/2024,9,3,2024,4,356,29,90.4,8,5.6,0.6,100,93.8,3,0.8,20
76,Darling Downs,Nanango,1/09/2024,9,3,2024,5,646,19,98.9,8,3.1,0.3,50,96.9,3,0.5,20
76,Darling Downs,Nanango,1/09/2024,9,3,2024,ALL,1115,17.2,94.6,7,3.8,0.6,71.4,93.7,11,1,42
91,Darling Downs,Chinchilla,1/09/2024,9,3,2024,1,5,150,100,0,0,80,100,100,0,0,0
91,Darling Downs,Chinchilla,1/09/2024,9,3,2024,2,154,9.2,86.3,0,0.6,44.8,87,81.8,1,0.6,1
91,Darling Downs,Chinchilla,1/09/2024,9,3,2024,3,441,11.4,88.8,5,1.1,26.3,87.9,91.8,4,0.9,5
